POI ID,대명칭,중명칭,위도,경도,위도,,,,,,,,,,,,,,,,,,,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
102478,행진빌딩,민간개방화장실,37.51883858,126.9332911,37.51883858,,,,,,,,,,,,,,,,,,,446602.7772,194103.4238,,5545.12723,5028.460074,4660.646547,4327.549481,4196.81211,3991.922424,3657.367706,3455.791972,3131.078742,3139.705389,3164.971332,3169.819124,3185.848791,3341.489691,,
102479,한경빌딩,민간개방화장실,37.49678044,126.899379,37.49678044,,,,,,,,,,,,,,,,,,,444157.5332,191103.2254,,7979.430339,7611.116754,7346.152967,7128.439895,7113.482011,7049.534865,6885.903365,6829.479565,6719.521714,6837.251811,6923.210682,6994.019414,7040.379499,7208.878558,,
102480,송림빌딩,민간개방화장실,37.50297999,126.8993028,37.50297999,,,,,,,,,,,,,,,,,,,444845.5367,191097.2239,,7308.309201,6949.676304,6693.025838,6485.521218,6480.232999,6430.307803,6287.904581,6251.9753,6181.480293,6324.461586,6428.95978,6529.089992,6598.184677,6784.842523,,
102494,동화빌딩,개방,37.56258352,126.9729754,37.56258352,,,,,,,,,,,,,,,,,,,451455.6651,197612.6194,,4922.153884,4571.790313,4374.338249,4186.204409,3970.616768,3732.489402,3520.506321,3333.810543,3158.563482,2961.523888,2856.201963,2822.01913,2856.229126,2797.337868,,
102495,선일빌딩,개방,37.55960836,126.9965285,37.55960836,,,,,,,,,,,,,,,,,,,451125.1552,199693.312,,7026.904076,6663.637514,6446.856137,6232.257269,6003.34621,5736.833158,5459.849991,5208.733624,4873.725044,4574.411004,4378.395004,4172.190809,4058.850997,3860.700976,,
102496,대한극장,개방,37.56114301,126.9953747,37.56114301,,,,,,,,,,,,,,,,,,,451295.4694,199591.3884,,6906.979095,6553.908745,6345.642904,6139.49607,5913.995249,5653.988343,5389.538739,5148.615967,4834.914285,4546.419672,4359.342827,4169.717786,4070.091109,3883.029347,,
102497,신아빌딩,개방,37.56492745,126.9730508,37.56492745,,,,,,,,,,,,,,,,,,,451715.784,197619.3549,,4908.427219,4582.383992,4404.847402,4236.242775,4029.596125,3807.49035,3623.679082,3459.512801,3324.742509,3148.651001,3058.315879,3044.834986,3091.578399,3042.44179,,
102498,신영빌딩,개방,37.56535292,127.021579,37.56535292,,,,,,,,,,,,,,,,,,,451762.8786,201906.2402,,9191.001716,8868.376884,8678.842137,8486.211031,8264.985564,8010.917953,7751.088364,7508.110143,7175.339081,6870.385978,6666.604494,6438.510396,6299.777407,6077.636594,,
102521,미래프라자개방화장실,개방,37.55670045,126.9241614,37.55670045,,,,,,,,,,,,,,,,,,,450805.1435,193299.8139,,1303.986955,758.0883183,382.5678962,183.3377413,400.8542612,713.7261158,1144.549888,1519.949479,2153.057521,2535.277228,2810.229011,3218.359698,3520.844595,3800.5593,,
102427,논현빌딩,민간개방화장실,37.51144509,127.0203385,37.51144509,,,,,,,,,,,,,,,,,,,445780.3851,201797.9511,,10990.35496,10468.87935,10115.46524,9770.51859,9517.153682,9179.365393,8728.637286,8352.609369,7726.382559,7339.050919,7062.754166,6655.047515,6353.783294,6071.979273,,
102428,머리재빌딩,민간개방화장실,37.4810986,126.9983186,37.4810986,,,,,,,,,,,,,,,,,,,442412.4877,199851.3018,,11927.81246,11370.27012,10979.98375,10607.83943,10385.44948,10068.55155,9606.263412,9244.331188,8616.046522,8301.538864,8075.917665,7710.370647,7431.719953,7237.756103,,
102429,동국한방병원,민간개방화장실,37.49027434,126.9923509,37.49027434,,,,,,,,,,,,,,,,,,,443430.7906,199323.6182,,10797.71249,10240.48089,9850.941407,9478.991451,9254.152277,8935.094238,8471.66189,8107.748845,7477.143538,7159.135482,6931.605344,6564.503185,6285.181636,6090.883884,,
102430,예스씨제일은행,개방,37.47418571,127.0478405,37.47418571,,,,,,,,,,,,,,,,,,,441646.4049,204231.2669,,15465.47587,14921.80939,14547.37364,14184.93987,13940.4135,13605.21097,13140.27858,12761.88929,12118.87345,11752.13499,11489.04974,11085.71959,10783.09709,10527.0014,,
102431,미켈란107빌딩,개방,37.51489454,127.0604402,37.51489454,,,,,,,,,,,,,,,,,,,446164.711,205342.7503,,13896.6896,13415.74359,13096.07585,12779.90792,12524.31499,12193.94848,11772.736,11411.85742,10825.06893,10432.72562,10154.74592,9760.988312,9475.577212,9181.916746,,
102432,명품,개방,37.49337006,127.1250601,37.49337006,,,,,,,,,,,,,,,,,,,443781.6563,211058.1509,,20086.21532,19607.55488,19288.38379,18971.62742,18715.98573,18385.13829,17961.76684,17599.11244,17006.60285,16614.03702,16335.58173,15938.60002,15649.56745,15356.86329,,
