업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명
인삼갈비,서울특별시 서대문구 모래내로 342 (홍은동(지상1층)),서울특별시 서대문구 홍은동  274번지 58호  (지상1층),한식,갈비.갈비탕,홍은제1동
강릉수산,서울특별시 서대문구 연세로5다길 16 1~2층 (창천동),서울특별시 서대문구 창천동  62번지 66호  1~2층,한식,낙지전골,신촌동
강릉수산,서울특별시 서대문구 연세로5다길 16 1~2층 (창천동),서울특별시 서대문구 창천동  62번지 66호  1~2층,한식,한식,신촌동
주식회사 신촌형제갈비 2층,서울특별시 서대문구 명물1길 2 (창천동(지상2층)),서울특별시 서대문구 창천동  31번지 26호  (지상2층),한식,양념갈비,신촌동
주식회사 신촌형제갈비 2층,서울특별시 서대문구 명물1길 2 (창천동(지상2층)),서울특별시 서대문구 창천동  31번지 26호  (지상2층),한식,한식,신촌동
고수닭갈비 신촌점,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,쌀국수,신촌동
고수닭갈비 신촌점,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,한식,신촌동
고수닭갈비 신촌점,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,쌀국수,신촌동
돈까스 브로스,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,쌀국수,신촌동
돈까스 브로스,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,한식,신촌동
돈까스 브로스,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,쌀국수,신촌동
고수닭갈비 신촌점,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,쌀국수,신촌동
고수닭갈비 신촌점,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,한식,신촌동
고수닭갈비 신촌점,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,쌀국수,신촌동
돈까스 브로스,서울특별시 서대문구 명물길 36-3 (창천동외 1필지 (지상1층)),서울특별시 서대문구 창천동  5번지 59호  외 1필지 (지상1층),분식,쌀국수,신촌동
