POI ID,대명칭,중명칭,위도,경도
102471,DMC산학연구개방화장실,개방,37.57600519,126.8906201
102472,동성빌딩,민간개방화장실,37.4645123,126.9026856
102525,택민빌딩,민간개방화장실,37.54976617,126.8665929
102526,등촌빌딩,민간개방화장실,37.5451249,126.8626096
102527,(주)새서울개발주차장,민간개방화장실,37.53282614,126.8285528
102384,중계주유소화장실,개방,37.65497904,127.0586116
102385,하계삼호주유소화장실,개방,37.63358344,127.0723105
102386,하계주유소화장실,개방,37.64212554,127.0704003
102390,대경주유소화장실,개방,37.66643066,127.0434662
102391,한영주유소화장실,개방,37.58847664,127.0574073
102377,파리공원화장실,공중,37.53479309,126.8770361
102378,오목공원화장실,공중,37.52800771,126.8732967
102379,양천공원화장실,공중,37.51801814,126.868181
102387,도봉산입구무인자동화장실,공중,37.6885117,127.0449806
102388,다락원주유소화장실,개방,37.6883408,127.0453588
102375,잔다리공중화장실,공중,37.55461082,126.9127935
102376,와우산공중화장실,공중,37.55200819,126.9291205
102371,홍익공중화장실,공중,37.55226837,126.9233336
102373,노고산2공중화장실,공중,37.55413754,126.9347693
102374,서교1공중화장실,공중,37.55191128,126.9154224
102380,신트리공원화장실,공중,37.5146212,126.856515
102381,노원주유소화장실,개방,37.62024852,127.0751456
102382,삼육주유소화장실,개방,37.63961168,127.1104518
102383,상계주유소화장실,개방,37.65590582,127.066235
102365,역말공중화장실,공중,37.60682125,126.9141415
102366,신흥공중화장실,공중,37.59607206,126.9118681
102367,창서공원공중화장실,공중,37.55682822,126.9355309
102395,살피재주유소화장실,개방,37.49833495,126.9514148
102456,옥돌빌딩,개방,37.60634179,127.0272532
102457,장석빌딩,개방,37.61641986,127.0567386
102566,상일동주민센터,공공기관,37.55167131,127.1655407
102568,암사3동주민센터,공공기관,37.55506645,127.1407556
102569,성내3동주민센터,공공기관,37.52608966,127.1328674
102461,개포출장소,개방,37.48802678,127.0737228
102508,소방파출소,공공기관,37.54104659,127.1444439
102458,정수빌딩,개방,37.5796901,127.0232971
102511,수서동주민센터,개방,37.48896449,127.1050285
102512,세곡동주민센터,개방,37.469175,127.106929
102513,은경빌딩개방화장실,개방,37.60029366,126.9231374
102462,개포2동주민센터,개방,37.4898464,127.0691394
102463,양재천무인자동화장실,공중,37.47668178,127.0406135
102464,부룡빌딩개방화장실,개방,37.56847207,127.0511308
102515,경우회관개방화장실,개방,37.60310116,126.9223157
102516,우풍골개방화장실,개방,37.60374093,126.9249448
102517,한샘빌딩개방화장실,개방,37.6266846,126.9202191
102400,황금충전소화장실,개방,37.59414986,127.0758883
102401,신설공중화장실,공중,37.57382889,127.0242
102402,금호4가공중화장실,공중,37.54817728,127.020555
102570,길1동주민센터,공공기관,37.534699,127.1426595
102571,종합시장D동상가본관지하1층개방화장실,개방,37.57082067,127.0073293
102572,종합시장D동상가본관지상3층개방화장실,개방,37.57050839,127.0071915
102573,버거킹(종로구청점)개방화장실,개방,37.57251647,126.9805121
102514,녹번시장개방화장실,개방,37.60059883,126.9304419
102554,개포우성3차상가,개방,37.4840515,127.0560936
102555,엠-프로젝트,개방,37.58356019,126.9997523
102556,제분빌딩,개방,37.55886772,126.9753489
102558,금풍빌딩,개방,37.5634316,126.9904486
102560,다동빌딩,개방,37.56794799,126.982079
102561,대일빌딩,개방,37.56795453,126.9830337
102403,신이문역앞공중화장실,공중,37.60302257,127.0680153
102404,용마폭포공중화장실,공중,37.57397515,127.0892432
102405,중화3동공중화장실,공중,37.6023455,127.0741895
102563,강남구보건소,개방,37.5159947,127.0521334
102564,신사동주민센터,개방,37.52400555,127.0228243
102565,강동구보건소,공공기관,37.52926369,127.1254139
102454,한화역사(주),개방,37.55592923,126.9720331
102451,태광산업,개방,37.56182445,127.0037391
102452,한국화이자,개방,37.5604781,126.9840849
102453,한주흥산,개방,37.56437621,126.984035
99997,동대문운동장공중화장실,공중,37.56724822,127.0121078
99998,동양생명,개방,37.56520874,126.9865314
99999,가양지구대,공공청사,37.55926559,126.8501784
A00181,곰돌이공중화장실,공중,37.56231441,126.8574517
A00182,가리봉1동주민센터,공공청사,37.48085354,126.8899185
A00183,진달래공중화장실,공중,37.5623792,126.8609928
A00184,구로1동주민센터,공공청사,37.49308079,126.8758029
A00185,비둘기공중화장실,공중,37.55950505,126.8629722
A00186,고척1동주민센터,공공청사,37.50046324,126.8627657
A00010,강서경찰서,공공청사,37.5514441,126.8499726
A00011,삼들공중화장실,공중,37.66794462,127.053321
A00136,조원제1공영주차장,공공청사,37.48308385,126.904661
A00137,공항동체육공원화장실,공중,37.55573427,126.8121441
A00173,나들이공중화장실,공중,37.57183638,126.8442774
A00174,수궁동주민센터,공공청사,37.49394999,126.8314717
A00175,꽃동네공중화장실,공중,37.57020608,126.8470847
A00047,온수근린공원화장실,공중,37.66092731,127.0641764
A00048,실로암안과병원,개방,37.5461864,126.8619443
A00049,상계1동수락산공중화장실,공중,37.68759383,127.0702456
A00165,황금내공중화장실,공중,37.56173117,126.8644367
A00166,구의3동사무소,공공청사,37.53904461,127.0976935
A00167,방화공중화장실,공중,37.5816729,126.8120959
A00168,동부지방법원,공공청사,37.53685794,127.0874701
A00134,원신공영주차장,공공청사,37.4701602,126.9294067
A00172,구로본동주민센터,공공청사,37.49931681,126.8829003
A00102,미성동주민센터,공공청사,37.47621999,126.9155633
