162,서대문구,봉원고가차도밑,서대문구 대신동 143-1,37.565269,126.946243,6767,12530,15,
163,서대문구,명지전문대학교정문앞,서대문구 홍은동 산25-3,37.583698,126.924965,6150,6965,7,
164,서대문구,북가좌1동주민센터,서대문구 북가좌동 477-1,37.574478,126.910049,4605,5746,10,
165,서대문구,중앙근린공원,서대문구 북가좌동 470-1,37.575138,126.91394,8896,10147,20,
166,서대문구,가재울초등학교,서대문구 연희동 530,37.573277,126.919678,15531,14341,20,
167,서대문구,연가초등학교옆,서대문구 북가좌동 70-119,37.57946,126.91713,1461,4561,15,
168,서대문구,남가좌동사거리,서대문구 남가좌동 185-21,37.574821,126.918053,3027,4901,20,
169,서대문구,북가좌삼거리,서대문구 북가좌동 400,37.573002,126.907799,4132,4741,15,
170,서대문구,가재울뉴타운주유소옆,서대문구 남가좌동 124,37.573112,126.922447,10686,9496,10,
172,서대문구,서대문소방서,서대문구 연희로 182,37.573254,126.935722,7605,8685,8,
173,서대문구,서대문역8번출구앞,서대문구 충정로2가 138,37.564777,126.966148,10723,10897,8,
174,서대문구,명지대학교학생회관,서대문구 거북골로 34,37.580589,126.923447,457,717,10,
175,서대문구,홍연2교옆,서대문구 홍은동 387-16,37.578072,126.930817,18300,17088,20,
176,서대문구,명지대학교도서관,서대문구 거북골로 34,37.581097,126.924026,7119,6170,10,
177,서대문구,북가좌초등학교,서대문구 거북골로19길 20,37.577675,126.909805,2987,2847,8,
178,서대문구,증산3교앞,서대문구 북가좌동 352-9,37.579876,126.906349,6669,6002,10,
179,서대문구,가좌역4번출구앞,서대문구 남가좌동 293-3 ,37.569122,126.914795,12169,12088,15,
180,서대문구,충정로역7번출구뒤,서대문구 충정로3가 56-1,37.559967,126.962463,8088,9587,10,
181,마포구,망원초록길입구,마포구 마포나루길 467,37.551342,126.902672,2706,2999,15,
182,마포구,망원2빗물펌프장앞,마포구?동교로?7,37.551567,126.902847,14818,13844,10,
183,마포구,하늘채코오롱아파트건너편,마포구 연남로 30,37.565166,126.919395,24083,23508,15,
184,마포구,SK망원동주유소건너편,마포구 월드컵로 119?,37.558949,126.907753,14217,12831,9,
185,마포구,마포신수공원앞,마포구 현석동 106-32,37.542545,126.934296,11974,13564,15,
186,마포구,월드컵공원,마포구 하늘공원로 108-1,37.563965,126.898209,21935,20374,40,
188,서대문구,홍은동정원여중입구,서대문구 연희로37안길 51,37.586388,126.935127,7741,7606,10,
191,서대문구,정명학원,서대문구 응암로 66,37.578892,126.910736,6741,5672,10,
192,서대문구,연서어린이공원,서대문구 연희동 519-7,37.572227,126.923065,5660,5386,10,
194,서대문구,증산교앞,서대문구 불광천길 36,37.577316,126.902969,13792,13591,10,
195,서대문구,모래내고가차도,서대문구 연희동 446-76,37.567657,126.917809,5953,8129,10,
196,서대문구,연희교차로인근,서대문구 홍제천로 48,37.56612,126.925896,4549,5771,10,
198,서대문구,충정2교,서대문구 충정로3가 155-4,37.562138,126.963776,5889,7508,15,
199,마포구,서울월드컵경기장,마포구 성산동 515,37.566845,126.896446,7490,10695,30,
200,영등포구,국회의원회관,영등포구 의사당대로 1,37.528728,126.914925,6608,7614,20,
201,영등포구,진미파라곤앞,영등포구 국회대로76길 10,37.531239,126.921333,19522,19571,15,
202,영등포구,국민일보앞,영등포구 여의공원로 101,37.528816,126.92453,31654,27432,15,
203,영등포구,국회의사당역3번출구옆,영등포구 국회대로 지하758,37.528057,126.918701,16027,16012,15,
204,영등포구,국회의사당역5번출구옆,영등포구 의사당대로 8,37.528164,126.917023,10558,11702,13,
205,영등포구,산업은행앞,영등포구 의사당대로 97,37.526264,126.920509,18039,19555,20,
206,영등포구,KBS앞,영등포구 여의공원로 13,37.524666,126.918022,18383,19162,20,
207,영등포구,여의나루역1번출구앞,영등포구 여의동로 지하343,37.526989,126.932098,91431,91781,40,
209,영등포구,유진투자증권빌딩앞,영등포구 국제금융로 24,37.524612,126.927834,19350,18769,12,
210,영등포구,IFC몰,영등포구 국제금융로 10,37.526066,126.925537,28670,26780,12,
211,영등포구,여의도역4번출구옆,영등포구 국회대로68길 7,37.522228,126.924637,28729,31970,13,
212,영등포구,여의도역1번출구옆,영등포구 의사당대로 88,37.521362,126.923462,17404,26566,35,
213,영등포구,KT앞,영등포구 여의대로 38,37.521908,126.918953,20482,24052,15,
214,영등포구,금융감독원앞,영등포구 여의대로 38,37.523022,126.920837,11226,15277,20,
215,영등포구,여의도고교앞,영등포구 국제금융로7길 37,37.524837,126.934906,16155,15298,10,
216,영등포구,삼부아파트1동앞,영등포구 국제금융로7길 27,37.523491,126.932899,19182,20176,10,
217,영등포구,NH농협은행앞,영등포구 국제금융로8길 2,37.522079,126.930367,16488,15282,10,
218,영등포구,증권거래소앞,영등포구 여의나루로 76,37.523277,126.929237,7849,10708,20,
219,영등포구,롯데캐슬엠파이어옆,영등포구 의사당대로 127,37.520695,126.925835,10437,12249,12,
220,영등포구,미성아파트A동앞,영등포구 의사당대로 110,37.519363,126.926048,10586,12432,30,
221,영등포구,여의도초교앞,영등포구 여의대방로 439,37.522675,126.93779,22758,23117,10,
222,영등포구,시범아파트버스정류장옆,영등포구 63로 45,37.520271,126.938881,32081,27475,12,
223,영등포구,진주아파트상가앞,영등포구 국제금융로 108-6,37.519314,126.933167,16346,16999,20,
224,영등포구,롯데캐슬앞,영등포구 국제금융로 86,37.520088,126.932365,20588,20973,20,
225,영등포구,앙카라공원앞,영등포구 의사당대로 지하166,37.517368,126.929253,12010,15523,26,
226,영등포구,샛강역1번출구앞,영등포구 의사당대로 지하166,37.517765,126.928413,13384,16113,20,
227,영등포구,양평2나들목보행통로입구,영등포구 양화동 17-4,37.544666,126.888359,10715,8286,10,
228,영등포구,선유도역3번출구앞,영등포구 양평동4가 202-1,37.53846,126.894508,16751,16653,10,
229,영등포구,양평1보행육교앞,영등포구 양평동4가 20-4,37.535873,126.892181,9574,9718,20,
230,영등포구,영등포구청역1번출구,영등포구 당산로 111-2,37.524635,126.896217,19068,19813,10,
231,영등포구,남부고용노동지청남측,영등포구 양평동1가 115-2,37.524506,126.891823,4841,4966,10,
232,영등포구,양평우림이비즈센타앞,영등포구 양평동3가 14-1,37.52565,126.887817,18576,17413,20,
233,영등포구,YP센터앞,영등포구 양평동3가 60-1,37.528488,126.891647,1806,1947,10,
234,영등포구,영등포구민체육센터앞,영등포구 신길동 399 ,37.500462,126.905846,3489,3437,10,
235,영등포구,신길동우리은행옆,영등포구 신길동 250-4 ,37.504566,126.910233,4741,3946,10,
236,영등포구,문래동자이아파트앞,영등포구 문래동3가 68-1,37.516155,126.894615,6641,6952,10,
237,영등포구,보라매두산위브건너편,영등포구 신길동 4490 ,37.496513,126.914803,7245,5953,20,
238,영등포구,제2구민체육센타앞,영등포구 당산동4가 96-2,37.526386,126.902756,13314,13740,10,
239,영등포구,유스호스텔앞,영등포구 영등포동7가 58-2,37.525852,126.903282,11036,11317,20,
240,영등포구,문래역4번출구앞,영등포구 문래동3가 55-12 ,37.518738,126.895576,9054,10013,10,
241,영등포구,신길우성1차아파트앞공원,영등포구 도림동 255-2 ,37.505329,126.898483,4856,4861,10,
242,영등포구,신길선원가와인아파트앞,영등포구 신길동 215-28 ,37.510933,126.910225,6405,6385,15,
243,영등포구,이앤씨드림타워앞,영등포구 양평동3가 48-1,37.527084,126.89138,8224,8281,15,
244,영등포구,영등포삼환아파트앞,영등포구 영등포동8가 82-4 ,37.530079,126.905708,18935,16482,20,
245,영등포구,삼성생명당산사옥앞,영등포구 당산동4가 35-24 ,37.528263,126.896629,11629,11586,10,
247,영등포구,당산역10번출구앞,영등포구 당산동5가 14-4,37.533688,126.902107,27034,27811,19,
248,영등포구,초원아파트앞,영등포구 여의도동8-13,37.531055,126.92421,14210,13715,10,
249,영등포구,여의도중학교옆,영등포구 여의도동 8,37.52412,126.936546,12506,10769,8,
250,영등포구,대림아파트사거리,영등포구 신길동 249,37.507641,126.92308,4972,4797,10,
251,영등포구,서울지방병무청버스정류장,영등포구 신길동853,37.504494,126.921951,5064,5486,10,
252,영등포구,보라매역4번출구,영등포구 신길동4884,37.499977,126.920036,9840,9036,10,
253,영등포구,신풍역5번출구인근,영등포구 신길동3596,37.500648,126.909515,6057,6814,10,
254,영등포구,도림신협앞,영등포구 신길동263-76,37.503803,126.903419,2611,2276,10,
255,영등포구,도림4거리,영등포구 신길동373-1,37.506573,126.901131,5052,3938,10,
256,영등포구,동아에코빌입구,영등포구 도림동 159-70,37.509476,126.8993,5184,4845,10,
257,영등포구,신길삼거리(우리은행),영등포구 신길동95-256,37.513844,126.919357,14976,11859,10,
258,영등포구,신길역3번출구,영등포구 영등포동1가35,37.517693,126.914299,13600,12188,14,
259,영등포구,대방역6번출구,영등포구 신길동1368,37.513592,126.925934,23468,22596,17,
262,영등포구,영문초등학교사거리,영등포구 문래로 56,37.519928,126.889183,12774,11510,12,
263,영등포구,근로자회관사거리,영등포구 선유로 34,37.517151,126.888626,9341,9022,12,
264,영등포구,교보생명보험앞,영등포구 영등포로 96,37.521931,126.891617,6692,6389,15,
265,영등포구,영등포유통상가사거리,영등포구 영등포로 124,37.521133,126.896538,4503,5392,15,
266,영등포구,영등포청과시장사거리,영등포구 영등포로 177,37.520447,126.901093,14395,13804,10,
267,영등포구,삼성화재사옥옆,영등포구 양평로 76,37.535961,126.8983,8200,8899,10,
268,영등포구,그랜드컨벤션센터앞,영등포구 양평로 58,37.534718,126.900002,8644,9291,10,
270,영등포구,증권거래소후문교차로,영등포구 여의나루로 76,37.522343,126.927101,3039,3991,10,
271,영등포구,샛강생태공원방문자센터앞,영등포구 여의동로 48,37.518963,126.921616,4260,5785,10,
272,영등포구,당산육갑문,영등포구 당산로52길 3,37.535339,126.903679,18883,18746,20,
274,영등포구,영등포역지하쇼핑센타5번출구,영등포구 경인로 846,37.516651,126.90799,0,0,10,
275,영등포구,신동아아파트,영등포구 선유서로 76,37.522816,126.885651,0,0,10,
276,영등포구,SK영등포주유소,영등포구 경인로112길 1,37.518284,126.912636,0,0,10,
277,영등포구,영등포뉴타운지하상가2번게이트,영등포구 영중로 22,37.520119,126.905167,0,0,10,
278,영등포구,쌍용플레티넘오피스텔,영등포구 도영로 18,37.507931,126.895233,0,0,10,
279,영등포구,영등포푸르지오아파트,영등포구 도신로29길 28,37.513229,126.904465,0,0,15,
300,중구,정동사거리,중구 정동길 2-1,37.56805,126.969231,18054,20551,7,
301,종로구,경복궁역7번출구앞,종로구 사직로 지하130,37.575794,126.971451,14876,17934,16,
302,종로구,경복궁역4번출구뒤,종로구 사직로 지하130,37.575947,126.97406,27452,26926,12,
303,종로구,광화문역1번출구앞,종로구 세종대로 지하189,37.571732,126.974922,16973,19638,8,
304,종로구,광화문역2번출구앞,종로구 세종대로 지하172,37.572487,126.977501,14662,15659,7,
305,종로구,종로구청옆,종로구 삼봉로 43,37.572582,126.978355,18888,16569,16,
306,종로구,광화문역7번출구앞,종로구 세종대로 지하172,37.570808,126.976433,12587,14754,9,
307,종로구,서울역사박물관앞,종로구 새문안로 55,37.57,126.9711,14386,16333,11,
308,종로구,광화문S타워앞,종로구 새문안로 82,37.569969,126.973938,9400,10431,10,
309,종로구,광화문역6번출구옆,종로구 세종대로 지하172,37.569889,126.976456,11534,14897,13,
310,중구,청계광장옆,중구 세종대로 136,37.568878,126.97747,10963,13487,10,
311,중구,서울광장옆,중구 세종대로 지하 101,37.566612,126.97747,23087,29019,35,
312,중구,시청역1번출구뒤,중구 세종대로 지하101,37.564674,126.976738,21770,22526,7,
313,중구,서울역광장파출소옆,중구 통일로 13,37.556961,126.971771,12328,10165,5,
314,종로구,국립현대미술관,종로구 삼청로 30,37.579708,126.980858,20884,21750,10,
316,종로구,종각역1번출구앞,종로구 종로 47,37.570396,126.981789,23277,24779,12,
318,중구,광교사거리남측,중구 청계천로 30,37.568527,126.982552,9784,11021,10,
320,중구,을지로입구역4번출구앞,중구 을지로 55,37.566223,126.983589,15917,16311,20,
321,중구,KEB하나은행본점앞,중구 을지로 66,37.565464,126.984138,13349,15412,15,
322,중구,명동성당앞,중구 명동길 74,37.564476,126.986969,7189,10561,15,
324,중구,신세계백화점본점앞,중구 퇴계로 77,37.56134,126.9804,13023,13036,10,
